 Altitude (ft) , Speed (mph), Fuel (gal/hr)
482.3221,45.3601,0.3973738
480.7682,45.3601,0.7877144
480.2422,45.3601,0.5600157
479.9642,45.3601,0.3560539
479.2874,45.3601,0.3595705
479.0167,44.73873,0.7569442
479.7988,45.3601,1.027721
480.5646,45.3601,0.6822169
469.4553,45.3601,0.8835412
472.477,45.3601,0.9151905
475.9162,45.98147,0.9872804
477.7559,46.60284,1.077832
470.8688,46.60284,1.127944
473.2001,46.60284,1.112119
474.0273,47.22421,0.6971624
476.3278,47.22421,0.6866126
478.2301,46.60284,0.5793568
477.7763,46.60284,0.5635322
478.4478,46.60284,0.495838
479.14,46.60284,0.3402293
480.6457,45.98147,0.2312153
480.9709,45.98147,0.4360562
483.5612,44.73873,0.5688071
491.4039,44.73873,0.5389162
491.4139,44.11736,0.2655019
491.8212,43.49598,0.2822057
470.1433,42.87461,0.3481416
469.5638,42.25324,0.1854997
450.2921,41.0105,0.2101158
448.2263,41.0105,0.2065992
447.2664,39.76776,0.1978077
447.4188,39.14639,0.1978077
447.955,37.90364,0.2022035
450.4883,37.28227,0.2030826
434.4077,34.79679,0.2004452
437.8201,32.93267,0.1942911
441.4053,29.82582,0.2013243
446.5046,29.82582,0.2013243
447.6903,24.85485,0.2013243
447.7668,19.88388,0.2048409
451.5933,15.53428,0.199566
456.233,13.04879,0.2004452
462.7726,8.699197,0.2751725
467.3191,3.106856,0.3727577
470.0975,0.6213712,0.326163
474.246,0,0.2909971
474.3205,0,0.2742934
477.5494,0,0.302426
470.9479,0,0.302426
473.5027,0,0.2707768
473.5812,0,0.2734143
474.0075,0,0.2716559
475.8672,0,0.2734143
477.801,0,0.2725351
479.8313,0,0.2707768
480.0739,0,0.2716559
479.2822,0,0.2690185
477.4648,0.6213712,0.2742934
480.6971,0.6213712,0.2742934
478.2521,3.106856,0.7050747
477.8824,5.592341,1.105086
477.5551,8.699197,1.380258
481.8261,13.04879,1.475206
480.3399,15.53428,1.826864
484.5593,18.64114,1.670376
486.0533,20.50525,1.485756
486.6218,21.74799,1.076074
488.0698,23.6121,1.463777
488.4545,24.85485,1.215858
489.0146,26.71896,1.41982
491.8801,27.9617,1.468173
491.8819,29.82582,1.609715
492.2003,31.06856,1.403995
