altitude (ft),Speed(mph)
727.4,19.883872
730,17.398388
732.9,21.747985
735.1,21.747985
737.1,21.747985
737.4,21.747985
737.6,24.233469
737.1,21.747985
736.2,21.747985
735.4,21.747985
734,21.747985
731.5,24.233469
728.6,21.747985
726.7,19.883872
724.8,21.747985
723.5,19.883872
722.7,21.747985
722.1,21.747985
721.9,19.883872
722.2,19.883872
722.6,21.747985
722.8,13.048791
723.3,13.048791
723.8,10.563307
723.9,10.563307
723.3,13.048791
722.1,13.670162
722.3,5.592339
722.5,4.349597
722.4,3.728226
722.7,4.970968
723.2,7.456452
723.9,9.320565
724.9,13.048791
726.2,16.155646
727.6,19.262501
729,19.262501
730.4,24.85484
731.3,27.340324
732.2,28.583066
732.3,28.583066
731.8,27.961695
731,27.961695
729.7,27.961695
728,27.340324
726.8,25.476211
725.9,22.990727
724.6,22.990727
723.2,21.126614
721.9,18.019759
721.5,16.777017
721.3,18.019759
737.6,4.349597
737.7,8.699194
737.7,9.941936
737.8,11.184678
737.9,14.291533
737.4,14.291533
672.1,39.767744
682.6,62.1371
722.7,60.272987
694,8.699194
693.8,11.184678
693.2,16.155646
693.6,0.621371
692.9,11.184678
693.7,19.262501
694.2,9.320565
754.8,31.06855
753.4,31.06855
751.6,31.06855
748.6,29.825808
720.6,65.243955
682.7,58.408874
721.1,77.671375
678.7,8.699194
720.8,72.079036
721.2,71.457665
729.2,9.941936
725.3,21.747985
740.6,27.961695
742.4,24.85484
700.5,0
699.9,0
679.1,26.718953
727.6,28.583066
700.5,14.912904
700.6,13.048791
700.8,14.912904
701.2,14.912904
701.7,17.398388
702,19.883872
701.4,19.883872
700.3,21.747985
696,19.883872
690.5,19.883872
686,17.398388
683.1,13.048791
682.8,8.699194
682.8,3.728226
682.9,1.864113
683,1.864113
683,0
683.1,0
683.1,1.864113
683.2,1.864113
683.3,1.864113
683.5,3.728226
686,8.699194
690.8,13.048791
696,14.912904
700,17.398388
700.2,19.883872
700.6,19.883872
700.8,21.747985
700.6,24.233469
700.5,24.233469
699.8,24.233469
699.2,26.097582
697.5,28.583066
695.2,28.583066
693,31.06855
692.4,31.06855
692.4,31.06855
692.2,31.06855
690.1,31.06855
688.5,31.06855
687,32.932663
686.5,35.418147
686.3,35.418147
685.7,37.28226
684.8,37.28226
683.8,39.767744
682.9,39.767744
682.1,39.767744
681.5,39.767744
680.8,42.253228
679.9,42.253228
679.4,42.253228
678.7,44.117341
678.1,44.117341
677.7,44.117341
677.5,46.602825
677.7,46.602825
678.1,46.602825
676.1,46.602825
668.8,48.466938
664.4,48.466938
677.2,48.466938
676.4,48.466938
676.5,48.466938
676,48.466938
675.7,48.466938
675.7,46.602825
675.9,46.602825
676.1,46.602825
676,46.602825
675.8,44.117341
676.1,42.253228
676.8,39.767744
676.1,39.767744
676.8,42.253228
677.4,42.253228
677.8,42.253228
678.8,44.117341
678.9,44.117341
679.7,44.117341
680.7,44.117341
683,44.117341
684.3,39.767744
683.8,37.28226
683.3,32.932663
686.2,31.06855
688.5,24.233469
689.6,17.398388
690,10.563307
690.2,3.728226
690.3,1.864113
690.4,0
690.6,0
690.6,0
690.7,0
690.7,0
690.7,0
690.7,0
690.7,0
690.6,1.864113
690.8,3.728226
690.9,6.21371
690.9,6.21371
691.2,10.563307
691.2,1.864113
691.2,1.864113
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,0
691.2,1.864113
691.1,6.21371
691.7,8.699194
692.4,10.563307
693.3,14.912904
693.2,14.912904
693.1,21.747985
693.5,24.233469
694,28.583066
694.6,31.06855
695.4,32.932663
695.6,35.418147
696.5,37.28226
697.9,39.767744
698.2,42.253228
699.7,42.253228
700,44.117341
700.9,44.117341
702.8,46.602825
705.2,48.466938
709.1,48.466938
710.6,48.466938
714.3,48.466938
716,48.466938
719.1,46.602825
721.9,46.602825
724.7,44.117341
727.8,42.253228
730.7,42.253228
732.9,37.28226
730.3,32.932663
734.2,31.06855
736.7,21.747985
737.7,19.883872
737.5,13.048791
737.2,8.699194
736.9,3.728226
736.7,0
736.1,0
735.5,0
735.1,0
734.8,0
734.4,0
733.8,0
732.9,3.728226
732.8,6.21371
733.5,8.699194
733.9,10.563307
734,10.563307
723.3,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
723.5,0
724.2,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
724.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.3,0
725.2,0
726.2,3.728226
726.5,3.728226
726.4,13.048791
723,17.398388
722.2,17.398388
721.4,26.097582
721.8,26.097582
722.2,32.932663
722,32.932663
719.8,37.28226
717.7,37.28226
717.1,37.28226
716.9,37.28226
715.9,37.28226
712,37.28226
710.3,37.28226
710.9,37.28226
709.6,37.28226
708.8,37.28226
707,35.418147
706.6,35.418147
706.4,35.418147
705.7,35.418147
704.8,35.418147
704.3,35.418147
704.2,35.418147
703,35.418147
701.9,35.418147
700.9,35.418147
700.1,35.418147
699.6,35.418147
698.2,32.932663
696.3,31.06855
695.1,31.06855
694.7,24.233469
694.8,21.747985
694.3,19.883872
693.7,19.883872
693.2,17.398388
692.9,17.398388
692.9,17.398388
692.9,14.912904
693.1,14.912904
693.3,13.048791
693.5,10.563307
693.4,8.699194
693.3,3.728226
693.2,3.728226
693.1,1.864113
693,1.864113
692.9,1.864113
692.8,0
692.8,0
692.8,0
692.8,0
692.8,0
692.8,0
692.8,0
692.6,0
692.6,0
692.6,0
692.6,0
692.6,0
692.5,0
692.5,0
692.5,0
692.5,0
692.5,0
692.5,0
692.5,0
692.5,0
692.5,0
692.5,0
692.5,0
692.5,0
692.5,0
692.5,0
692.5,0
692.4,1.864113
692.3,1.864113
692.2,6.21371
692.2,8.699194
692.4,13.048791
692.8,13.048791
693,14.912904
693.2,13.048791
693.3,13.048791
693.5,10.563307
693.6,10.563307
693.2,13.048791
692.8,13.048791
695.1,16.777017
692.9,7.456452
742.9,34.796776
700,14.912904
684.5,2.485484
684.6,11.806049
686.9,19.883872
736.6,21.126614
735.2,23.612098
733.6,24.85484
732.1,24.85484
730.5,26.718953
728.7,24.85484
727.1,24.85484
725.3,23.612098
723.5,21.126614
723,11.806049
722.4,4.349597
722.2,6.835081
721.5,11.184678
721.1,16.155646
721,18.019759
721,22.369356
721,24.85484
722.4,26.718953
723.9,23.612098
726.2,23.612098
729.9,22.369356
731.9,21.126614
733.5,18.019759
735.2,16.777017
736.8,18.019759
737.5,23.612098
737.7,26.718953
737.2,26.718953
736.2,26.718953
735.1,24.85484
733.3,21.126614
731.7,18.019759
729.8,13.048791
728.3,9.941936
727.3,8.699194
727.2,11.184678
724.4,13.048791
723.7,11.184678
723.3,11.184678
722.9,11.184678
722.4,13.048791
722.1,13.048791
722,13.048791
721.8,9.941936
721.7,8.699194
721.7,8.699194
721.5,6.21371
721.5,1.864113
698.1,45.360083
691.3,18.64113
693.2,39.146373
693.3,36.039518
692.4,32.311292
692.3,29.204437
